event_id,sport_key,commence_time,home_team,away_team,bookmaker,bookmaker_title,home_odds,draw_odds,away_odds,home_link,draw_link,away_link,combined_product
1a7d9a230fc5e77b5fbf420993a8eb93,soccer_epl,2025-10-05T13:00:00Z,Everton,Crystal Palace,betfair_ex_eu,Betfair,2.7,3.25,3.05,https://www.betfair.com/exchange/plus/football/market/1.248023163,https://www.betfair.com/exchange/plus/football/market/1.248023163,https://www.betfair.com/exchange/plus/football/market/1.248023163,26.763749999999998
1a7d9a230fc5e77b5fbf420993a8eb93,soccer_epl,2025-10-05T13:00:00Z,Everton,Crystal Palace,matchbook,Matchbook,2.7,3.25,3.05,https://www.matchbook.com/events/soccer/england/english-premier-league/31244056039200061/,https://www.matchbook.com/events/soccer/england/english-premier-league/31244056039200061/,https://www.matchbook.com/events/soccer/england/english-premier-league/31244056039200061/,26.763749999999998
1c6f5a64013f5f4aeb457759e792d23e,soccer_epl,2025-10-18T14:00:00Z,Sunderland,Wolverhampton Wanderers,onexbet,1xBet,2.48,3.29,3.25,https://1xbet.com/en/line/football/88637-england-premier-league/280742109-sunderland-wolverhampton-wanderers,https://1xbet.com/en/line/football/88637-england-premier-league/280742109-sunderland-wolverhampton-wanderers,https://1xbet.com/en/line/football/88637-england-premier-league/280742109-sunderland-wolverhampton-wanderers,26.517400000000002
bae402bede75abd412e7b462610803ff,soccer_epl,2025-10-20T19:00:00Z,West Ham United,Brentford,betfair_ex_eu,Betfair,2.42,3.55,3.05,https://www.betfair.com/exchange/plus/football/market/1.248327165,https://www.betfair.com/exchange/plus/football/market/1.248327165,https://www.betfair.com/exchange/plus/football/market/1.248327165,26.202549999999995
4907b5b0fda4232a0d17821563d5a756,soccer_epl,2025-10-26T16:30:00Z,Everton,Tottenham Hotspur,onexbet,1xBet,2.68,3.37,2.89,https://1xbet.com/en/line/football/88637-england-premier-league/281805353-everton-tottenham-hotspur,https://1xbet.com/en/line/football/88637-england-premier-league/281805353-everton-tottenham-hotspur,https://1xbet.com/en/line/football/88637-england-premier-league/281805353-everton-tottenham-hotspur,26.101324000000005
1a7d9a230fc5e77b5fbf420993a8eb93,soccer_epl,2025-10-05T13:00:00Z,Everton,Crystal Palace,onexbet,1xBet,2.66,3.3,2.97,https://1xbet.com/en/line/football/88637-england-premier-league/279676895-everton-crystal-palace,https://1xbet.com/en/line/football/88637-england-premier-league/279676895-everton-crystal-palace,https://1xbet.com/en/line/football/88637-england-premier-league/279676895-everton-crystal-palace,26.070660000000004
1a7d9a230fc5e77b5fbf420993a8eb93,soccer_epl,2025-10-05T13:00:00Z,Everton,Crystal Palace,coolbet,Coolbet,2.66,3.27,2.95,https://www.coolbet.com/en/sports/match/4420209,https://www.coolbet.com/en/sports/match/4420209,https://www.coolbet.com/en/sports/match/4420209,25.65969
1a7d9a230fc5e77b5fbf420993a8eb93,soccer_epl,2025-10-05T13:00:00Z,Everton,Crystal Palace,unibet_nl,Unibet (NL),2.65,3.35,2.88,,,,25.567199999999996
79927e2416bff66f9c40fd4fe2a5852f,soccer_epl,2025-10-18T14:00:00Z,Brighton and Hove Albion,Newcastle United,betfair_ex_eu,Betfair,2.56,3.45,2.88,https://www.betfair.com/exchange/plus/football/market/1.248327574,https://www.betfair.com/exchange/plus/football/market/1.248327574,https://www.betfair.com/exchange/plus/football/market/1.248327574,25.43616
1a7d9a230fc5e77b5fbf420993a8eb93,soccer_epl,2025-10-05T13:00:00Z,Everton,Crystal Palace,unibet_se,Unibet (SE),2.65,3.3,2.88,https://www.unibet.se/betting/sports/event/1024043905,https://www.unibet.se/betting/sports/event/1024043905,https://www.unibet.se/betting/sports/event/1024043905,25.185599999999997
1a7d9a230fc5e77b5fbf420993a8eb93,soccer_epl,2025-10-05T13:00:00Z,Everton,Crystal Palace,pinnacle,Pinnacle,2.64,3.19,2.98,https://www.pinnacle.com/en/soccer/england-premier-league/crystal-palace-vs-everton/1615845209/,https://www.pinnacle.com/en/soccer/england-premier-league/crystal-palace-vs-everton/1615845209/,https://www.pinnacle.com/en/soccer/england-premier-league/crystal-palace-vs-everton/1615845209/,25.096368
1c6f5a64013f5f4aeb457759e792d23e,soccer_epl,2025-10-18T14:00:00Z,Sunderland,Wolverhampton Wanderers,marathonbet,Marathon Bet,2.43,3.22,3.18,,,,24.882228000000005
1a7d9a230fc5e77b5fbf420993a8eb93,soccer_epl,2025-10-05T13:00:00Z,Everton,Crystal Palace,betonlineag,BetOnline.ag,2.61,3.2,2.95,https://sports.betonline.ag/sportsbook/soccer/epl/game/490822712,https://sports.betonline.ag/sportsbook/soccer/epl/game/490822712,https://sports.betonline.ag/sportsbook/soccer/epl/game/490822712,24.6384
1a7d9a230fc5e77b5fbf420993a8eb93,soccer_epl,2025-10-05T13:00:00Z,Everton,Crystal Palace,marathonbet,Marathon Bet,2.61,3.22,2.92,,,,24.540263999999997
79927e2416bff66f9c40fd4fe2a5852f,soccer_epl,2025-10-18T14:00:00Z,Brighton and Hove Albion,Newcastle United,pinnacle,Pinnacle,2.5,3.56,2.72,https://www.pinnacle.com/en/soccer/england-premier-league/newcastle-united-vs-brighton/1616854169/,https://www.pinnacle.com/en/soccer/england-premier-league/newcastle-united-vs-brighton/1616854169/,https://www.pinnacle.com/en/soccer/england-premier-league/newcastle-united-vs-brighton/1616854169/,24.208000000000002
1a7d9a230fc5e77b5fbf420993a8eb93,soccer_epl,2025-10-05T13:00:00Z,Everton,Crystal Palace,leovegas_se,LeoVegas (SE),2.6,3.25,2.85,https://www.leovegas.com/sv-se/betting#event/1024043905,https://www.leovegas.com/sv-se/betting#event/1024043905,https://www.leovegas.com/sv-se/betting#event/1024043905,24.082500000000003
bae402bede75abd412e7b462610803ff,soccer_epl,2025-10-20T19:00:00Z,West Ham United,Brentford,pinnacle,Pinnacle,2.48,3.39,2.85,https://www.pinnacle.com/en/soccer/england-premier-league/brentford-vs-west-ham-united/1616873854/,https://www.pinnacle.com/en/soccer/england-premier-league/brentford-vs-west-ham-united/1616873854/,https://www.pinnacle.com/en/soccer/england-premier-league/brentford-vs-west-ham-united/1616873854/,23.96052
79927e2416bff66f9c40fd4fe2a5852f,soccer_epl,2025-10-18T14:00:00Z,Brighton and Hove Albion,Newcastle United,unibet_it,Unibet (IT),2.45,3.55,2.75,,,,23.918125
1c6f5a64013f5f4aeb457759e792d23e,soccer_epl,2025-10-18T14:00:00Z,Sunderland,Wolverhampton Wanderers,pinnacle,Pinnacle,2.46,3.07,3.15,https://www.pinnacle.com/en/soccer/england-premier-league/wolverhampton-vs-sunderland/1616854079/,https://www.pinnacle.com/en/soccer/england-premier-league/wolverhampton-vs-sunderland/1616854079/,https://www.pinnacle.com/en/soccer/england-premier-league/wolverhampton-vs-sunderland/1616854079/,23.789429999999996
